Date,High_Price,Low_Price,Avg_Price,Avg_Volume,Price_Change,Volume_Change,price_std,volume_std,Gu,Gl,Nus,Nls
1980-12-12,0.1607140004634857,0.1127230003476142,0.13978789945443468,60396373.333333336,-0.015625,444393600,0.012201971639887437,84505387.42771511,0.15872660802102354,0.08863270658598822,46,12
1980-12-19,0.1607140004634857,0.1188620030879974,0.14187126606702802,35568960.0,0.00725398957729341,24864000,0.009551030973625765,18173176.024429426,0.20326651910790655,0.15129782051999857,11,58
1980-12-29,0.1607140004634857,0.1188620030879974,0.13950893307725584,30537173.333333332,0.03906200081109999,76406400,0.010450096892876768,18455631.302217826,0.17921981970537457,0.13381889396052488,10,65
1981-01-06,0.1467629969120025,0.1138390004634857,0.13324029917518296,24370453.333333332,0.027343995869159796,32883200,0.010566288847230198,12599530.169120384,0.1441392679781669,0.10475356976145375,49,11
1981-01-13,0.1467629969120025,0.1060269996523857,0.1285713990529378,21408426.666666668,0.0301339998841285,6070400,0.012725620498324142,9949005.576193353,0.15104398567172098,0.13364739989277483,10,50
1981-01-20,0.1467629969120025,0.1060269996523857,0.12470236544807749,20296640.0,0.025110997259616796,13910400,0.012258090510316342,9350136.261946429,0.17193496294425922,0.13490593092220965,10,66
1981-01-27,0.1428570002317428,0.1004460006952285,0.11895459940036135,18863040.0,0.04241099953651431,-4681600,0.009366575652570352,9203576.497982016,0.13077539311307423,0.11062676693789641,11,54
1981-02-03,0.1283479928970337,0.0965399965643882,0.11389503305157023,26718720.0,0.015067003667354598,-24595200,0.008629373501984332,40230555.42862226,0.15814759954810143,0.11036094828148285,10,66
1981-02-10,0.1216519996523857,0.0965399965643882,0.11233253305157023,28517440.0,0.002789996564388303,-9811200,0.00694703698535391,40069621.094269715,0.1287523570138856,0.11239359428086304,11,64
1981-02-18,0.1216519996523857,0.0965399965643882,0.11149546628197031,28094080.0,0.012276999652385698,3248000,0.006595354369293672,40244847.650749035,0.12120199800189638,0.07922520056292583,47,12
1981-02-25,0.1194199994206428,0.0965399965643882,0.11199769998590149,28708586.666666668,-0.0022320002317429005,8803200,0.006508098011650457,40269023.00118742,0.15089230090379704,0.08283439414832422,51,10
1981-03-04,0.1244420036673545,0.0965399965643882,0.11316956703861551,29295466.666666668,-0.008371002972126007,7056000,0.007702397118242142,40236448.14890525,0.12550199553370467,0.06786346133018159,47,17
1981-03-11,0.1272320002317428,0.0965399965643882,0.11460190042853352,31509333.333333332,-0.030692003667354598,10864000,0.007755315608750758,39685905.79706268,0.1298073287567021,0.09644870687426284,57,10
1981-03-18,0.1305799931287765,0.1082589998841285,0.11897316649556157,24044160.0,-0.009487003087997395,23296000,0.006259492311887998,12055268.986189371,0.12840318937224204,0.0957742061209313,11,14
1981-03-25,0.1305799931287765,0.1082589998841285,0.12047986611723897,22063253.333333332,-0.005581006407737801,-11894400,0.006519867505015803,11712234.00356648,0.12756523080887397,0.07682503387881688,53,10
1981-04-01,0.1305799931287765,0.1082589998841285,0.12226563319563863,21426346.666666668,-0.013392999768257197,29164800,0.005258030073606496,12372908.712175002,0.13078561111865158,0.0973810791160432,61,23
1981-04-08,0.1305799931287765,0.1116070002317428,0.12366073305408157,19334933.333333332,-0.006137996912002591,8668800,0.0039474681734325764,12908917.048233014,0.15379519909620282,0.08475746421872067,51,12
1981-04-15,0.1473210006952285,0.1116070002317428,0.12671129951874413,28729493.333333332,-0.029017001390457098,-39939200,0.008106423545587021,30148157.66900403,0.14862610747373517,0.10308108920391439,56,10
1981-04-23,0.1478790044784546,0.1199780032038688,0.13089653328061102,32255253.333333332,-0.012835010886192294,1948800,0.009265637296701691,31206251.23647983,0.16467619538307182,0.09001758889855255,52,11
1981-04-30,0.1478790044784546,0.1199780032038688,0.13305430064598717,37506560.0,-0.020089000463485718,-26364800,0.009864000339559847,36424776.353746,0.14832499075060285,0.08837308994258607,51,12
1981-05-07,0.1478790044784546,0.1199780032038688,0.13580726757645603,43417920.0,-0.015067003667354598,-13686400,0.009683586102745405,40184673.93235798,0.1492932935333753,0.08405922248972118,46,11
1981-05-14,0.1478790044784546,0.1199780032038688,0.13723950112859404,45494400.0,-0.011717997491359697,-19331200,0.008178918388231801,38584719.436763994,0.1474659651104082,0.09421709180557848,57,13
1981-05-21,0.1478790044784546,0.1149550005793571,0.1367186014850934,52772160.0,0.01897399872541429,1926400,0.009438395669368578,42659003.973382965,0.18616750279395067,0.13796783703025944,10,65
1981-05-29,0.1478790044784546,0.0993300005793571,0.13134283448259032,44924693.333333336,0.048549003899097484,4211200,0.013608031385224382,38759713.85267612,0.1485251372048634,0.1311879436380922,14,63
1981-06-05,0.1467629969120025,0.0993300005793571,0.1254463007052739,40423040.0,0.02567000687122352,37856000,0.014547649947733192,39755501.51220106,0.17201956836631693,0.13683705760266757,11,63
1981-06-12,0.1450890004634857,0.0993300005793571,0.11954973389705019,33976320.0,0.03794600069522859,-3046400,0.01428262349361296,35139986.33350469,0.1633139954397653,0.12771537997635712,11,66
1981-06-19,0.1350450068712234,0.0993300005793571,0.11411820054054257,27946240.0,0.02343800663948059,16553600,0.010220198089345081,28934859.576089185,0.15239042566224975,0.11803988312779873,12,66
1981-06-26,0.1300220042467117,0.0993300005793571,0.11097459991772966,27301866.666666668,0.017299003899097498,14582400,0.006454180506021402,29236332.644081783,0.11798455283749684,0.09206629167608688,27,63
1981-07-06,0.1166289970278739,0.0993300005793571,0.10876113300522165,23247466.666666668,0.008927993476390811,-7660800,0.004464973750030317,14539985.579021767,0.11273948915348475,0.07489692449658257,56,11
1981-07-13,0.1155129969120025,0.0898440033197403,0.1064359995226065,22532906.666666668,0.011718995869159698,3830400,0.006382612514922703,13531704.706506565,0.11314502280428115,0.0893071813053157,51,13
1981-07-20,0.1155129969120025,0.0842629969120025,0.10267853289842603,24192746.666666668,0.017857000231742803,-14380800,0.009638767841815563,13379289.526102062,0.13975800555273912,0.10573752157375932,17,34
1981-07-27,0.1155129969120025,0.0842629969120025,0.10063239981730775,24476480.0,0.020646996796131106,2083200,0.010167162062004407,14049283.041871592,0.11619500414191863,0.10269690061068004,24,57
1981-08-03,0.1155129969120025,0.0842629969120025,0.09698660001158711,26458880.0,0.02566999942064291,-15254400,0.010279584001007666,13492650.673822142,0.14092069264518226,0.1039888776729595,10,63
1981-08-10,0.1127230003476142,0.0786829963326454,0.09157366653283434,28200853.333333332,0.0329240038990974,-49033600,0.008992546409322726,13119193.857375624,0.12840359583497044,0.09200913289399082,10,66
1981-08-17,0.0987719967961311,0.0636160001158714,0.0853980665405591,30562560.0,0.0345980003476143,-72822400,0.009081760459086978,15178857.918456502,0.09583573114869176,0.06003314523647501,53,13
