Date,High_Price,Low_Price,Avg_Price,Avg_Volume,Price_Change,Volume_Change,price_std,volume_std,Gu,Gl,Nus,Nls
1984-10-17,0.1484380066394806,0.1210940033197403,0.13580736766258875,1147200.0,0.015625,9376000,0.007925000338317329,1979794.0289942739,0.16897099703930682,0.13503368690385104,11,61
1984-10-24,0.1445309966802597,0.1210940033197403,0.13255216777324677,486186.6666666667,0.02343699336051941,128000,0.0077402864113009714,439466.25599802256,0.1853234356501876,0.13683820330374213,13,65
1984-10-31,0.1445309966802597,0.1171879991889,0.12851580108205476,486720.0,0.02734299749135971,-96000,0.008355866935314224,492197.28480804706,0.14589268045936435,0.12524116753769401,10,52
1984-11-07,0.1367190033197403,0.1171879991889,0.12473983416954676,394880.0,0.0195310041308403,-25600,0.007321003344368913,457187.0622962055,0.15843479446262915,0.12580403579337646,12,66
1984-11-14,0.1328130066394806,0.1171879991889,0.12148466681440671,442666.6666666667,0.015625007450580597,576000,0.005265636039160721,465105.80875036743,0.12981643888168234,0.11398324681349231,15,60
1984-11-21,0.1289059966802597,0.1171879991889,0.12018259987235069,393813.3333333333,0.0,515200,0.004189764434438935,419770.2324986302,0.16757779568433762,0.09526440299586494,56,10
1984-11-29,0.1484380066394806,0.1171879991889,0.12317739998300871,519146.6666666667,-0.019532009959220886,73600,0.010036937629575143,597281.4525909836,0.15234439894557,0.0840709817017705,47,10
1984-12-06,0.15625,0.1171879991889,0.12825553342700005,521280.0,-0.039062000811100006,73600,0.0158615582327246,597119.8403370449,0.15234439894557,0.08352796938215205,29,11
1984-12-13,0.1875,0.1171879991889,0.1364585667848587,517866.6666666667,-0.0703120008111,-1008000,0.020996374524441717,559731.6927029341,0.15234439894557,0.0831354204417563,35,12
1984-12-20,0.1953130066394806,0.1171879991889,0.14895853425065678,642880.0,-0.0781250074505806,-86400,0.027444191745488563,574334.0505796017,0.15234439894557,0.08205818160261892,19,10
1984-12-28,0.265625,0.1171879991889,0.1690105343858401,867306.6666666666,-0.1484370008111,-4192000,0.03968961253132436,915133.8228626054,0.16757779568433762,0.09036705656538793,26,10
1985-01-07,0.2695310115814209,0.1289059966802597,0.1925782009959221,947626.6666666666,-0.1250000149011612,2348800,0.045161670452682594,894767.5201561782,0.1980472043156624,0.11072856742308364,32,11
1985-01-14,0.2695310115814209,0.1523440033197403,0.20976573477188745,859200.0,-0.0976559966802597,-364800,0.042385008847116545,831476.0153714183,0.20304927363938485,0.11186678819016962,33,10
1985-01-21,0.2734380066394806,0.15625,0.2277345021565755,963093.3333333334,-0.11718800663948059,-444800,0.03831659784286098,822761.0031047199,0.24375000000000002,0.14123984027047248,40,11
1985-01-28,0.2734380066394806,0.1875,0.24466163565715154,911040.0,-0.0742189884185791,662400,0.027877017195788792,824217.8861575797,0.2691402956843376,0.1486563158522799,48,10
1985-02-04,0.2734380066394806,0.2070309966802597,0.2545574352145195,940160.0,-0.035157009959220886,812800,0.014618916908583185,1046434.7226127654,0.32718542329612105,0.22573924619105462,10,62
1985-02-11,0.2734380066394806,0.2421880066394806,0.2553387696544329,672000.0,0.027343004941940308,643200,0.011353048005020103,791723.253634013,0.2716635883922063,0.18359521524662492,46,10
1985-02-19,0.2734380066394806,0.2265630066394806,0.25117210298776627,595840.0,0.019530996680259705,-54400,0.013062738742692558,791075.5845137638,0.2732114981563498,0.17518018341019018,49,10
1985-02-26,0.2734380066394806,0.1875,0.2432293693224589,589440.0,0.0625,256000,0.024425483117143282,801069.365286178,0.35546940863132476,0.25602998563980456,10,61
1985-03-05,0.2734380066394806,0.1835940033197403,0.23450540204842885,622400.0,0.046875,-972800,0.025511809120866254,811895.3423296328,0.287426621710855,0.24425707288448703,11,66
1985-03-12,0.2617189884185791,0.1835940033197403,0.22916686932245892,821226.6666666666,0.015624985098838806,3910400,0.02080532423886953,1283848.6920552412,0.3011072557743718,0.17132016923391327,50,11
1985-03-19,0.28125,0.1835940033197403,0.23281270265579224,876053.3333333334,-0.027343004941940308,211200,0.02586239903978333,1160371.6300462075,0.3148444086313248,0.17081529346283622,55,10
1985-03-26,0.28125,0.1835940033197403,0.23776056965192158,874133.3333333334,-0.03125,92800,0.029868007317506048,1159931.952027072,0.27421940863132477,0.1479551015377331,14,10
1985-04-02,0.28125,0.1835940033197403,0.24427103598912556,929066.6666666666,-0.06640598177909851,233600,0.0329024650795253,1168143.5402272758,0.23867220431566238,0.13123584709410058,36,10
1985-04-10,0.3007810115814209,0.1835940033197403,0.2578127364317576,988586.6666666666,-0.1171870082616806,-924800,0.02735339705843041,1213097.351107638,0.2996097043156624,0.1628160041406113,42,10
1985-04-17,0.3242189884185791,0.2304690033197403,0.27526063720385235,975893.3333333334,-0.0859370082616806,582400,0.024377882206803682,1216612.10970106,0.3453125,0.18934877044890308,43,11
1985-04-24,0.3554689884185791,0.265625,0.291927303870519,928746.6666666666,-0.0898439884185791,-742400,0.026492095054451766,801433.0594513863,0.35039031505584717,0.18997805507400228,31,10
1985-05-01,0.3632810115814209,0.2695310115814209,0.30481790403525033,877866.6666666666,-0.09375,-115200,0.0327539981379028,731510.7868407463,0.35546940863132476,0.1945211668365515,47,11
1985-05-08,0.3632810115814209,0.2734380066394806,0.31848973631858823,938560.0,-0.06640598177909851,134400,0.0335357736622546,715550.21588165,0.35546940863132476,0.19620725919134804,46,13
1985-05-15,0.3632810115814209,0.2734380066394806,0.32799490392208097,902720.0,-0.0625,160000,0.027169554363068584,680757.5690817318,0.3690049261345264,0.2135831977735779,51,11
1985-05-22,0.3632810115814209,0.3046880066394806,0.3393230030934016,813973.3333333334,-0.04296800494194031,1344000,0.015982283740336407,595649.8016124236,0.3691010048855316,0.23126023592433562,51,11
1985-05-30,0.3632810115814209,0.3203130066394806,0.3427084356546402,680000.0,-0.01953098177909851,57600,0.012134803761543581,574475.0695349985,0.36524947647111283,0.3169458490207098,60,11
1985-06-06,0.3632810115814209,0.328125,0.34596356948216755,586666.6666666666,-0.0195310115814209,1459200,0.011408503480137177,398699.19984121236,0.38159955777854254,0.28753401836910747,11,64
1985-06-13,0.375,0.328125,0.34895840287208557,526826.6666666666,-0.003906995058059692,960000,0.014115267322931682,307166.0709232659,0.4265625,0.24314088906278766,56,18
1985-06-20,0.375,0.328125,0.35065110425154367,466133.3333333333,-0.0351560115814209,240000,0.014640416925121866,256925.68271152183,0.37381239128894733,0.3099252906256948,51,11
1985-06-27,0.375,0.3046880066394806,0.351562570532163,487146.6666666667,0.03125,-467200,0.017134699657559253,292985.72841944237,0.37391300551403595,0.29442575518486896,47,20
1985-07-05,0.375,0.296875,0.3442709038654963,489813.3333333333,0.0429689884185791,-32000,0.025017046026014112,292559.08184128575,0.37452326827065585,0.2758193589889922,59,12
1985-07-12,0.375,0.2890630066394806,0.3397136052449544,596586.6666666666,0.015625,300800,0.029544629747085202,362900.4952755843,0.48242218494415284,0.2708974497005653,10,65
1985-07-19,0.375,0.2890630066394806,0.33489593664805095,627946.6666666666,0.046875,73600,0.02877689682517844,391363.58942348836,0.43406221824102464,0.30953253741643766,11,63
1985-07-26,0.3671880066394806,0.2890630066394806,0.32591153581937155,613440.0,0.05468800663948059,-540800,0.024952771349776515,394570.0633557388,0.4202172474993925,0.30482498582947576,11,64
