Day,Prediction,Actual,Prev_Actual,Signal,Action,Portfolio Value
1,312.26794,0.6201958,0.6201958,buy,buy,100.0
2,312.26794,0.6201958,0.6201958,buy,hold,100.0
3,312.26794,0.6201958,0.6201958,buy,hold,100.0
4,312.26794,0.6201958,0.6201958,buy,hold,100.0
5,312.26794,0.61590934,0.6201958,buy,hold,99.308853752315
6,312.26367,0.61590934,0.61590934,buy,hold,99.308853752315
7,312.26367,0.6201958,0.61590934,buy,hold,100.0
8,312.26367,0.6201958,0.6201958,buy,hold,100.0
9,312.26794,0.6201958,0.6201958,buy,hold,100.0
10,312.26367,0.6201958,0.6201958,buy,hold,100.0
11,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
12,312.26794,0.6287688,0.6244823,buy,hold,101.38230539452219
13,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
14,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
15,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
16,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
17,312.27652,0.6287688,0.6287688,buy,hold,101.38230539452219
18,312.27222,0.63305527,0.6287688,buy,hold,102.0734532546012
19,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
20,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
21,312.27222,0.63734174,0.63305527,buy,hold,102.76460111468025
22,312.27652,0.63734174,0.63734174,buy,hold,102.76460111468025
23,312.2808,0.6416282,0.63734174,buy,hold,103.45574736236524
24,312.2851,0.63734174,0.6416282,buy,hold,102.76460111468025
25,312.2808,0.63305527,0.63734174,buy,hold,102.0734532546012
26,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
27,312.27652,0.63734174,0.63305527,buy,hold,102.76460111468025
28,312.2808,0.6416282,0.63734174,buy,hold,103.45574736236524
29,312.2851,0.6416282,0.6416282,buy,hold,103.45574736236524
30,312.2851,0.6416282,0.6416282,buy,hold,103.45574736236524
31,312.2851,0.6544876,0.6416282,buy,hold,105.5291893302083
32,312.29367,0.6459147,0.6544876,buy,hold,104.14690005962633
33,312.29367,0.63734174,0.6459147,buy,hold,102.76460111468025
34,312.28937,0.63734174,0.63734174,buy,hold,102.76460111468025
35,312.2851,0.63734174,0.63734174,buy,hold,102.76460111468025
36,312.2851,0.6416282,0.63734174,buy,hold,103.45574736236524
37,312.28937,0.6459147,0.6416282,buy,hold,104.14690005962633
38,312.28937,0.6416282,0.6459147,buy,hold,103.45574736236524
39,312.2851,0.63305527,0.6416282,buy,hold,102.0734532546012
40,312.2808,0.63734174,0.63305527,buy,hold,102.76460111468025
41,312.2851,0.63305527,0.63734174,buy,hold,102.0734532546012
42,312.2808,0.6287688,0.63305527,buy,hold,101.38230539452219
43,312.27652,0.6287688,0.6287688,buy,hold,101.38230539452219
44,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
45,312.27222,0.63305527,0.6287688,buy,hold,102.0734532546012
46,312.27652,0.63305527,0.63305527,buy,hold,102.0734532546012
47,312.27652,0.6287688,0.63305527,buy,hold,101.38230539452219
48,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
49,312.27222,0.63305527,0.6287688,buy,hold,102.0734532546012
50,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
51,312.2808,0.6287688,0.63305527,buy,hold,101.38230539452219
52,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
53,312.27652,0.6287688,0.6287688,buy,hold,101.38230539452219
54,312.27222,0.63305527,0.6287688,buy,hold,102.0734532546012
55,312.27222,0.63305527,0.63305527,buy,hold,102.0734532546012
56,312.27652,0.63305527,0.63305527,buy,hold,102.0734532546012
57,312.2808,0.6287688,0.63305527,buy,hold,101.38230539452219
58,312.27222,0.6244823,0.6287688,buy,hold,100.6911526972611
59,312.27222,0.6287688,0.6244823,buy,hold,101.38230539452219
60,312.27222,0.63305527,0.6287688,buy,hold,102.0734532546012
61,312.27652,0.6287688,0.63305527,buy,hold,101.38230539452219
