game_id,game_date,team,FGA_2,FGM_2,FGA_3,FGM_3,FTA,FTM,AST,BLK,STL,TOV,TOV_team,DREB,OREB,F_tech,F_personal,team_score,opponent_team_score,largest_lead,notD1_incomplete,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away,home_away_NS,travel_dist,result,game_count,wins,win_per,home_game_count,away_game_count,region
game_2022_2011,2021-12-30,georgia_lady_bulldogs,50,22,11,5,6,3,14,7,7,18,0,25,11,0,18,62,68,1.0,False,0.0,9.0,3241.0,0.0,0.0,home,1,0.0,0,28,19,0.6785714285714286,16.0,9.0,North
game_2022_2011,2021-12-30,lsu_tigers,50,24,11,4,15,8,15,2,15,14,2,25,11,0,7,68,62,14.0,False,0.0,3.0,3241.0,0.0,824.0,away,-1,824.0,1,28,23,0.8214285714285714,16.0,9.0,North
game_2022_2012,2021-12-30,south_carolina_gamecocks,55,23,21,6,9,5,15,8,3,8,0,27,20,0,15,69,70,6.0,False,5.0,9.0,6139.0,0.0,1154.0,away,-1,1154.0,0,31,29,0.9354838709677419,14.0,10.0,North
game_2022_2013,2021-12-30,tennessee_lady_volunteers,41,20,15,4,15,10,16,8,5,15,1,34,12,0,13,62,44,19.0,False,0.0,3.0,8124.0,0.0,0.0,home,1,0.0,1,31,23,0.7419354838709677,16.0,11.0,North
game_2022_2013,2021-12-30,alabama_crimson_tide,42,12,29,5,8,5,8,5,5,11,0,23,18,0,16,44,62,2.0,False,0.0,17.0,8124.0,0.0,439.0,away,-1,439.0,0,30,17,0.5666666666666667,17.0,9.0,North
game_2022_2111,2022-01-02,alabama_crimson_tide,40,14,18,4,29,16,9,6,6,15,1,32,14,1,21,56,53,13.0,False,0.0,3.0,2985.0,0.0,439.0,home,1,0.0,1,30,17,0.5666666666666667,17.0,9.0,North
game_2022_2112,2022-01-02,tennessee_lady_volunteers,46,22,7,1,36,23,13,6,1,20,0,40,10,0,21,70,63,11.0,False,0.0,3.0,3655.0,0.0,920.0,away,-1,920.0,1,31,23,0.7419354838709677,16.0,11.0,North
game_2022_2112,2022-01-02,arkansas_razorbacks,36,15,40,8,11,9,6,8,8,9,1,24,12,0,29,63,70,8.0,False,0.0,12.0,3655.0,0.0,0.0,home,1,0.0,0,31,18,0.5806451612903226,17.0,11.0,North
game_2022_2113,2022-01-02,florida_gators,35,17,18,7,17,14,12,3,10,26,1,22,11,0,20,69,73,16.0,False,0.0,12.0,1119.0,0.0,0.0,home,1,0.0,0,31,21,0.6774193548387096,14.0,11.0,North
game_2022_2113,2022-01-02,georgia_lady_bulldogs,56,26,6,1,23,18,10,2,15,17,2,19,16,0,15,73,69,4.0,False,0.0,3.0,1119.0,0.0,484.0,away,-1,484.0,1,28,19,0.6785714285714286,16.0,9.0,North
game_2022_2114,2022-01-02,lsu_tigers,44,19,19,8,25,13,19,5,4,14,2,33,16,0,13,75,66,11.0,False,0.0,3.0,7400.0,0.0,824.0,home,1,0.0,1,28,23,0.8214285714285714,16.0,9.0,North
game_2022_2189,2022-01-06,alabama_crimson_tide,28,13,27,10,9,6,14,2,2,20,1,23,10,0,14,62,65,4.0,False,0.0,4.0,1922.0,0.0,0.0,home,1,0.0,0,30,17,0.5666666666666667,17.0,9.0,North
game_2022_2190,2022-01-06,ole_miss_rebels,61,27,4,0,33,20,7,3,18,13,1,28,13,0,13,74,56,20.0,False,0.0,20.0,854.0,0.0,855.0,away,-1,855.0,1,29,21,0.7241379310344828,15.0,11.0,North
game_2022_2190,2022-01-06,florida_gators,52,24,8,0,15,8,10,0,10,25,0,32,12,0,22,56,74,2.0,False,0.0,4.0,854.0,0.0,0.0,home,1,0.0,0,31,21,0.6774193548387096,14.0,11.0,North
game_2022_2191,2022-01-06,georgia_lady_bulldogs,50,26,10,2,20,18,15,4,8,19,1,26,12,0,14,76,84,6.0,False,0.0,4.0,3013.0,0.0,948.0,away,-1,464.0,0,28,19,0.6785714285714286,16.0,9.0,North
game_2022_2192,2022-01-06,south_carolina_gamecocks,40,18,10,4,32,18,10,7,4,21,1,29,19,0,12,66,60,8.0,False,0.0,4.0,9190.0,0.0,1037.0,away,-1,1037.0,1,31,29,0.9354838709677419,14.0,10.0,North
game_2022_2192,2022-01-06,lsu_tigers,59,27,7,1,7,3,12,3,7,9,0,14,10,0,23,60,66,11.0,False,0.0,4.0,9190.0,0.0,0.0,home,1,0.0,0,28,23,0.8214285714285714,16.0,9.0,North
